,Brand,Model,Ram,Rom,Processor,Price Category,Processor Type,Rom Type,Price (₹),Website
153,HP,HP 14s Core i5 10th Gen ,8GB,512GB SSD,Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,55990,FLIPKART
154,HP,HP Pavilion Core i7 11th Gen ,16GB,512GB SSD,Intel Core i7,High End Laptop,Intel,Solid State Drive,85190,FLIPKART
155,HP,HP Pavilion Ryzen 5 Hexa Core 5625U ,16GB,512GB SSD,AMD Ryzen 5,Mid Range Laptop,AMD,Solid State Drive,62900,FLIPKART
156,HP,HP 14s Core i3 10th Gen ,8GB,512GB SSD,Intel Core i3,Budget Laptop,Intel,Solid State Drive,49490,FLIPKART
157,HP,HP Pavilion Gaming Ryzen 5 Quad Core 3550H ,8GB,512GB SSD,AMD Ryzen 5,Mid Range Laptop,AMD,Solid State Drive,59990,FLIPKART
158,HP,HP Core i5 11th Gen ,8GB,512GB SSD,Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,61990,FLIPKART
159,HP,HP Core i5 11th Gen ,8GB,512GB SSD,Intel Core i5,Mid Range Laptop,Intel,Solid State Drive,57990,FLIPKART
160,HP,HP 15s Ryzen 5 Hexa Core 4500U ,8GB,256GB SSD,AMD Ryzen 5,Budget Laptop,AMD,Solid State Drive,45990,FLIPKART
161,HP,HP 15s Ryzen 5 Quad Core 3500U ,8GB,512GB SSD,AMD Ryzen 5,Budget Laptop,AMD,Solid State Drive,46990,FLIPKART
162,HP,HP Pavilion x360 Convertible Core i3 11th Gen ,8GB,512GB SSD,Intel Core i3,Mid Range Laptop,Intel,Solid State Drive,55490,FLIPKART
163,HP,HP Pavilion Gaming Core i5 11th Gen ,16GB,512GB SSD,Intel Core i5,High End Laptop,Intel,Solid State Drive,70990,FLIPKART
164,HP,HP Pavilion Gaming Ryzen 7 Octa Core 5800H ,16GB,512GB SSD,AMD Ryzen 7,High End Laptop,AMD,Solid State Drive,79990,FLIPKART
165,DELL,DELL Vostro Core i3 10th Gen ,8GB,512GB SSD,Intel Core i3,Budget Laptop,Intel,Solid State Drive,43390,FLIPKART
